"","STUSAB","STATE","COUNTY","METDIV","NAME","BASENAME","POP100","HU100","INTPTLAT","INTPTLON","AREALAND","P0020001","P0020002","P0020003","P0020004","P0020005","P0020006","P0020007","P0020008","P0020009","P0020010","P0020011"
"1","CA","06","","","California","California","39538223","14392140","+37.1551773","-119.5434183","403671196038","39538223","15579652","23958571","22330849","13714587","2119286","156085","5978795","138167","223929","1627722"
"2","CA","06","001","36084","Alameda County","Alameda","1682353","621958","+37.6471385","-121.9124880","1910017353","1682353","393749","1288604","1200067","472277","159499","4131","540511","13209","10440","88537"
"3","CA","06","003","99999","Alpine County","Alpine","1204","1540","+38.6217831","-119.7983522","1912292607","1204","84","1120","1044","801","10","214","12","0","7","76"
"4","CA","06","005","99999","Amador County","Amador","40474","18805","+38.4435493","-120.6538580","1539965777","40474","6014","34460","32393","29725","1215","577","554","73","249","2067"
"5","CA","06","007","99999","Butte County","Butte","211632","90133","+39.6653362","-121.6032086","4238488698","211632","40112","171520","158046","139651","3320","3050","10333","508","1184","13474"
"6","CA","06","009","99999","Calaveras County","Calaveras","45292","27422","+38.1910682","-120.5541065","2641837359","45292","5865","39427","36548","34668","334","497","706","75","268","2879"
"7","CA","06","011","99999","Colusa County","Colusa","21839","8099","+39.1777385","-122.2375629","2980332727","21839","13476","8363","7817","6941","182","280","252","70","92","546"
"8","CA","06","013","36084","Contra Costa County","Contra Costa","1165927","423342","+37.9194790","-121.9515431","1856838508","1165927","314900","851027","784574","455421","97994","2553","214520","5720","8366","66453"
"9","CA","06","015","99999","Del Norte County","Del Norte","27743","11090","+41.7499033","-123.9809983","2606118035","27743","5321","22422","20215","16262","841","2136","826","28","122","2207"
"10","CA","06","017","99999","El Dorado County","El Dorado","191185","93467","+38.7856116","-120.5342245","4423309715","191185","26459","164726","153365","140141","1436","1273","9024","276","1215","11361"
"11","CA","06","019","99999","Fresno County","Fresno","1008654","338441","+36.7610058","-119.6550193","15432139292","1008654","540743","467911","438365","271889","44295","6074","109665","1233","5209","29546"
"12","CA","06","021","99999","Glenn County","Glenn","28917","10895","+39.6025462","-122.4016998","3403160301","28917","12541","16376","15377","13897","140","531","626","39","144","999"
"13","CA","06","023","99999","Humboldt County","Humboldt","136463","62120","+40.7066554","-123.9261757","9241565229","136463","18535","117928","107521","93316","1729","7454","3495","436","1091","10407"
"14","CA","06","025","99999","Imperial County","Imperial","179702","56625","+33.0408143","-115.3554001","10814595262","179702","153027","26675","25088","16813","3846","1584","2244","82","519","1587"
"15","CA","06","027","99999","Inyo County","Inyo","19016","9469","+36.5621604","-117.4042092","26410783053","19016","4399","14617","13682","11035","85","2189","273","13","87","935"
"16","CA","06","029","99999","Kern County","Kern","909235","301009","+35.3466288","-118.7295064","21068634240","909235","499158","410077","381514","279600","46776","5197","44257","1127","4557","28563"
"17","CA","06","031","99999","Kings County","Kings","152486","46287","+36.0724780","-119.8155301","3602601923","152486","86607","65879","60906","44361","8300","1690","5511","331","713","4973"
"18","CA","06","033","99999","Lake County","Lake","68163","34220","+39.0948019","-122.7467569","3254452700","68163","15442","52721","48512","44202","1158","1737","940","89","386","4209"
"19","CA","06","035","99999","Lassen County","Lassen","32730","12216","+40.7152866","-120.6212225","11762017378","32730","7531","25199","23614","19534","2244","939","472","283","142","1585"
